spp,lfm,mpa
CECO,143.0413105,-1.733333333
CECO,181.7715446,-1.81
PIJE,129.3963316,-0.88
PIJE,110.760947,-0.88
PIJE,93.60528989,-1.13
PIJE,106.2587628,-1.13
PIJE,100.9473234,-1.275
PIJE,103.1629367,-1.13
PIJE,86.9029508,-1.28
PIJE,117.2271104,-1.275
PIJE,96.03702951,-1.25
PIJE,108.9111581,-1.28
PIJE,109.6734842,-1.77
PIJE,87.82022544,-1.77
PIJE,92.5957753,-1.86
PIJE,77.02601382,-1.86
PIJE,98.84848219,-1.595
PIJE,90.36554954,-1.595
PIJE,95.35045518,-1.49
PIJE,82.67709691,-1.49
PIJE,108.0045563,-1.265
PIJE,88.784219,-1.265
PIJE,98.08319161,-1.96
PIJE,86.0590638,-2.915
PIJE,85.15040352,-2.215
PIJE,78.19259337,-2.465
PIJE,90.4424476,-3.02
PIJE,93.12428363,-2.475
PIJE,195.9679988,-2.05
PIJE,118.5148087,-2.05
PIJE,176.7522602,-2.725
PIJE,94.13435584,-2.725
PIJE,180.4331793,-2.545
PIJE,96.02915284,-2.545
PIJE,154.1603603,-2.62
PIJE,97.50575193,-2.62
PIJE,203.848283,-2.2
PIJE,104.7266543,-2.2
PIJE,181.6213998,-1.495
PIJE,96.64743372,-1.495
QUKE,186.6985534,-1.895
QUKE,128.8229489,-2.16
QUKE,128.5107551,-2.375
QUKE,98.14276514,-3.586666667
QUKE,221.6198325,-1.69
QUKE,208.8373526,-1.716666667
QUKE,69.57057443,-2.9
QUKE,111.499029,-2.83
QUKE,106.3207743,-3.65
QUKE,111.7130933,-3.66
QUKE,117.004306,-2.99
QUKE,122.6487504,-2.735
ABCO,136.7987918,-0.765
ABCO,117.7724041,-0.765
ARPA,105.117549,-0.745
CADE,95.64025459,-1.235
CADE,88.06827813,-1.235
CECO,129.5567545,-0.835
PIJE,129.3963316,-0.88
PIJE,110.760947,-0.88
ABCO,140.4427031,-0.97
ABCO,127.8647084,-0.97
ARPA,107.5271257,-0.535
CADE,101.7575982,-1.005
CADE,82.20119101,-1.005
CECO,123.2034472,-0.985
PIJE,107.9474607,-1.13
PIJE,93.60528989,-1.13
ABCO,124.6264749,-1.125
ABCO,115.9194827,-1.125
ARPA,89.56486579,-0.75
CADE,100.9016942,-0.845
CADE,87.0188148,-0.845
CECO,109.4910508,-1.35
PIJE,106.2587628,-1.13
PIJE,100.9473234,-1.275
ABCO,124.2028867,-0.935
ABCO,117.1928733,-0.935
ARPA,96.96616994,-0.61
CADE,99.14238742,-0.915
CADE,86.64269738,-0.915
CECO,118.1413434,-0.77
PIJE,103.1629367,-1.13
PIJE,86.9029508,-1.28
ABCO,131.0974719,-1.115
ABCO,126.9409766,-1.115
ARPA,102.8200519,-0.65
CADE,86.20055574,-0.525
CADE,80.54171603,-0.525
CECO,126.2455748,-0.72
PIJE,117.2271104,-1.275
PIJE,96.03702951,-1.25
ABCO,127.7849324,-0.89
ABCO,126.7246254,-0.89
ARPA,99.30157482,-0.84
CADE,104.327026,-0.86
CADE,92.79447625,-0.86
CECO,231.7437232,-1.2
PIJE,108.9111581,-1.28
PIJE,90.27451447,-1.13
ABCO,136.6259488,-1.545
ABCO,123.9121829,-1.545
ARPA,105.057422,-2.035
CADE,102.1029459,-1.385
CADE,88.54985573,-1.385
CECO,116.4557223,-1.42
ABCO,133.7575195,-0.815
ABCO,125.9093413,-0.815
ARPA,101.8276267,-1.105
CADE,100.0605907,-1.45
CADE,92.59311159,-1.45
CECO,111.2426499,-1.33
ABCO,131.6718142,-1.57
ABCO,117.1128028,-1.57
ARPA,99.11793766,-0.995
CADE,98.14264142,-1.605
CADE,90.53058256,-1.605
CECO,107.0045262,-1.04
ABCO,118.928846,-1.56
ABCO,112.6673354,-1.56
ARPA,97.48837847,-1.09
CADE,109.1698531,-1.22
CADE,100.0194008,-1.22
CECO,120.520519,-0.755
ABCO,126.2829053,-1.48
ABCO,112.9226181,-1.48
ARPA,100.9946182,-1.47
CADE,114.4207167,-1.69
CADE,102.6315502,-1.69
CECO,113.311826,-1.365
ABCO,123.030894,-2.196666667
ARPA,104.4851847,-1.56
CADE,123.4010128,-1.7
CADE,105.1013232,-1.7
CECO,210.6060606,-2
CECO,124.3817606,-2
ABCO,107.9494106,-2.373333333
ARPA,98.69899168,-1.446666667
CADE,107.4029024,-1.515
CADE,89.61800654,-1.515
CECO,218.8643533,-1.375
CECO,146.2079836,-1.375
ABCO,104.2173392,-2.335
ARPA,113.8019256,-1.463333333
CADE,113.1719083,-1.245
CADE,99.50166347,-1.245
CECO,52.66666667,-1.245
CECO,109.1325093,-1.245
ABCO,103.6515272,-1.906666667
ARPA,105.1098608,-1.56
CADE,110.7045171,-1.68
CADE,85.32786475,-1.68
CECO,160.9414301,-1.205
ABCO,96.49160642,-1.985
ARPA,97.24467704,-1.555
CADE,117.8334592,-1.665
CADE,104.7031569,-1.665
CECO,222.7983131,-1.165
CECO,127.8960527,-1.165
ABCO,109.6013333,-1.56
ARPA,99.91100758,-0.935
CADE,88.71261156,-1.663333333
CECO,122.8754009,-1
PIJE,109.6734842,-1.77
PIJE,87.82022544,-1.77
ABCO,111.2280881,-1.725
ARPA,101.6581905,-1.19
CADE,96.20601023,-1.533333333
CADE,92.35745715,-1.533333333
CECO,232.5147348,-1.09
CECO,127.28302,-1.09
PIJE,92.5957753,-1.86
PIJE,77.02601382,-1.86
ABCO,121.9488833,-0.795
ABCO,100.5980322,-0.795
ARPA,90.43289623,-1.17
CADE,99.44937004,-1.595
CADE,85.21826065,-1.595
CECO,195.2803407,-1.72
CECO,109.6531351,-1.72
PIJE,98.84848219,-1.595
PIJE,90.36554954,-1.595
ABCO,92.64854465,-1.58
ARPA,90.79148506,-1.61
CECO,206.372674,-1.036666667
CECO,161.1894246,-1.036666667
PIJE,95.35045518,-1.49
PIJE,82.67709691,-1.49
ABCO,205.0550563,-1.825
ARPA,100.1926415,-0.92
CADE,105.9839167,-1.663333333
CADE,79.30211836,-1.663333333
CECO,125.4852052,-1.02
ABCO,117.0487395,-1.515
ABCO,111.0665112,-1.515
ARPA,92.92648693,-1.945
CADE,110.3902591,-1.355
CADE,79.61354159,-1.355
CECO,176.3513514,-1.426666667
CECO,118.8251096,-1.426666667
PIJE,108.0045563,-1.265
PIJE,88.784219,-1.265
ABCO,122.6946888,-1.4
ARPA,102.929277,-1.365
CADE,140.7070367,-1.403333333
CADE,102.0462117,-1.403333333
CECO,147.9619429,-1.36
CECO,130.1788235,-1.36
ABCO,120.7900834,-1.69
ARPA,96.71743193,-1.08
CADE,100.5789651,-1.34
CADE,101.2021842,-1.34
CECO,198.1276387,-1.045
CECO,116.8895629,-1.045
ABCO,102.1520766,-1.783333333
ARPA,99.52257084,-1.353333333
CADE,109.413074,-1.355
CADE,98.77548753,-1.355
CECO,205.3347655,-1.295
CECO,121.6524803,-1.295
ABCO,103.0953495,-1.67
ARPA,113.7156275,-1.305
CADE,126.39876,-1.365
CADE,86.5219701,-1.365
CECO,192.3656927,-1.285
CECO,155.2757299,-1.285
ABCO,101.9135875,-1.68
ARPA,102.4891347,-1.41
CADE,99.81390179,-1.483333333
CECO,233.7137187,-1.143333333
CECO,156.6139347,-1.143333333
ABCO,191.9749403,-2.17
ABCO,113.5494922,-2.17
ARPA,94.31306255,-1.786666667
CADE,86.44494266,-1.89
CECO,195.7218167,-1.743333333
CECO,134.6851769,-1.743333333
PIJE,98.08319161,-1.96
QUKE,186.6985534,-1.895
ABCO,107.0244153,-1.973333333
ARPA,200.5565863,-1.903333333
ARPA,109.684227,-1.903333333
CADE,95.18772632,-1.68
CECO,190.5731119,-1.525
CECO,118.2013665,-1.525
PIJE,86.0590638,-2.915
QUKE,128.8229489,-2.16
ABCO,129.3575352,-1.87
ARPA,85.04993917,-1.63
CADE,84.77383962,-1.54
CECO,166.1824052,-1.66
CECO,115.2661217,-1.66
PIJE,85.15040352,-2.215
QUKE,128.5107551,-2.375
ABCO,95.41994477,-2.166666667
ARPA,182.6684828,-1.74
ARPA,100.0799506,-1.74
CADE,86.20695597,-1.35
CECO,177.4143081,-1.94
CECO,121.9667606,-1.94
PIJE,78.19259337,-2.465
QUKE,98.14276514,-3.586666667
ABCO,122.65713,-2.245
ARPA,94.04321841,-1.786666667
CADE,76.30264579,-2.12
CECO,207.0404016,-1.72
CECO,147.0558298,-1.72
PIJE,90.4424476,-3.02
QUKE,221.6198325,-1.69
ABCO,105.1617966,-2.223333333
ARPA,96.18941147,-1.88
CADE,95.05588147,-1.745
CECO,120.2821429,-1.775
CECO,158.660882,-1.775
PIJE,93.12428363,-2.475
QUKE,208.8373526,-1.716666667
ABCO,134.586799,-1.725
ARPA,207.6236507,-1.7
ARPA,114.5402336,-1.7
CADE,101.9305833,-1.816666667
CECO,166.8542361,-1.97
PIJE,195.9679988,-2.05
PIJE,118.5148087,-2.05
QUKE,69.57057443,-2.9
ABCO,117.0055022,-2.136666667
ARPA,141.5283877,-2.125
CADE,95.22846387,-1.873333333
CECO,134.9208993,-2.54
PIJE,176.7522602,-2.725
PIJE,94.13435584,-2.725
QUKE,111.499029,-2.83
ABCO,130.8164042,-1.896666667
ARPA,127.3093308,-1.695
CADE,96.35523029,-2.07
CECO,142.1328754,-2.125
PIJE,180.4331793,-2.545
PIJE,96.02915284,-2.545
QUKE,106.3207743,-3.65
ABCO,124.2991095,-2.27
ARPA,130.7637128,-2.193333333
CECO,130.2858624,-2.08
PIJE,154.1603603,-2.62
PIJE,97.50575193,-2.62
QUKE,111.7130933,-3.66
ABCO,141.281734,-1.995
ARPA,186.1682799,-2.26
ARPA,110.8579266,-2.26
CADE,91.19488509,-2.035
CECO,142.3845475,-2.363333333
PIJE,203.848283,-2.2
PIJE,104.7266543,-2.2
QUKE,117.004306,-2.99
ABCO,137.8218672,-2.193333333
ARPA,134.2402342,-2.195
CADE,88.09745019,-2.02
CECO,129.6445547,-2.03
PIJE,181.6213998,-1.495
PIJE,96.64743372,-1.495
QUKE,122.6487504,-2.735
ABCO,135.839217,-1.81
ARPA,201.8646243,-1.515
ARPA,186.0419212,-1.515
CADE,106.2687287,-1.59
CECO,172.1364938,-1.705
ABCO,143.1966406,-1.755
ARPA,160.1512836,-1.87
CADE,107.2385841,-1.705
CECO,176.0875143,-1.79
ABCO,136.2969865,-1.755
ARPA,192.5729981,-1.81
ARPA,131.2736028,-1.81
CADE,121.2129693,-1.76
CECO,177.5106274,-1.67
ABCO,115.6565105,-1.97
ARPA,180.0850226,-1.97
ARPA,135.5560919,-1.97
CADE,123.0550719,-1.86
CECO,143.0413105,-1.733333333
ABCO,124.0029641,-1.92
ARPA,187.4331551,-2.035
CADE,123.2329856,-1.585
CECO,181.7715446,-1.81
ABCO,190.8559853,-2.05
ABCO,140.1354188,-2.05
CADE,92.59593525,-2.125
CECO,114.4773093,-2.31
PIJE,153.7159991,-2.73
QUKE,107.7238093,-3.52
PIJE,150.2232304,-2.81
QUKE,98.25927324,-3.205
ABCO,183.8530411,-2.046666667
ABCO,124.7024133,-2.046666667
ARPA,100.9410189,-2.035
CADE,102.3122911,-2.195
CECO,84.52748273,-2.696666667
PIJE,151.2818307,-3.03
QUKE,94.5972857,-4.145
ABCO,107.768442,-2.105
ARPA,116.7423733,-2.96
CADE,89.8272583,-2.155
CECO,105.0086181,-2.33
PIJE,111.2925375,-2.336666667
QUKE,94.18793556,-3.86
ABCO,116.507718,-2.275
ABCO,124.8549059,-2.275
ARPA,106.9104228,-3.35
CADE,93.51479846,-2.33
CECO,94.53154499,-2.913333333
PIJE,163.2239773,-2.33
QUKE,108.3156145,-3.235
ABCO,147.7605512,-2.16
ABCO,125.7248327,-2.16
ARPA,111.4548119,-2.83
CADE,95.14466226,-2.735
CECO,105.6491053,-2.755
PIJE,142.4598624,-2.35
QUKE,90.28462412,-3.075
ABCO,203.1806205,-1.825
ABCO,130.8678575,-1.825
ARPA,127.1200402,-1.74
CADE,108.9958031,-2.06
CECO,108.6582768,-2.235
ABCO,202.282029,-1.793333333
ABCO,139.8065007,-1.793333333
ARPA,137.155978,-1.915
CADE,110.1649735,-1.72
CECO,118.9376234,-1.906666667
ABCO,193.4981399,-1.8
ABCO,139.9630475,-1.8
ARPA,135.2302742,-2.156666667
CADE,113.1341908,-1.98
CECO,124.0539772,-1.93
ABCO,160.1263334,-1.825
ABCO,123.4439919,-1.825
ARPA,119.7308403,-2.025
CADE,101.7787855,-2.675
CECO,118.1703813,-2.21
ABCO,133.1894835,-1.98
ABCO,105.9018926,-1.98
ABCO,126.9074131,-1.89
ARPA,99.03526423,-3.21
CADE,94.00446832,-2.226666667
CECO,96.06153846,-2.855
PIJE,112.9831024,-2.473333333
QUKE,101.6199305,-3.68
ABCO,161.8935469,-2.045
ABCO,133.7093559,-2.045
ARPA,95.4922543,-3.28
CADE,97.43544712,-2
CECO,81.25323357,-3.82
PIJE,147.2688142,-2.5
PIJE,98.90660867,-2.5
QUKE,94.76302125,-3.355
ABCO,152.3414655,-2.005
ABCO,122.3345627,-2.005
ARPA,88.28862547,-2.24
CADE,92.5454581,-2.49
CECO,86.50145153,-3.06
PIJE,96.67887189,-2.256666667
QUKE,90.06370191,-3.753333333
ABCO,120.3591835,-2
ARPA,93.43525204,-2
CADE,92.73188597,-2.06
CECO,94.1229156,-2.446666667
PIJE,56.9088379,-2.36
PIJE,100.0400771,-2.36
QUKE,89.06004205,-3.54
ABCO,133.5897057,-2.21
ABCO,120.2145275,-2.21
ARPA,95.83377195,-4.14
CADE,82.7820603,-2.39
CECO,88.80448028,-3.24
PIJE,136.6686997,-2.07
PIJE,101.7699502,-2.07
QUKE,97.65226671,-3.01
ABCO,140.6290549,-2.115
ABCO,125.7093409,-2.115
ARPA,90.53657099,-2.985
CADE,90.80694202,-2.895
CECO,87.99736363,-2.786666667
PIJE,135.610396,-2.35
PIJE,109.4378408,-2.35
QUKE,90.6104442,-3.09
ABCO,159.1595407,-2.04
ABCO,129.5437998,-2.04
ARPA,113.2593997,-2.555
CADE,113.4423217,-2.5
CECO,99.671845,-3.125
ABCO,158.3967756,-2.016666667
ABCO,134.8879344,-2.016666667
ARPA,116.8980643,-2.436666667
CADE,100.9083612,-2.01
CECO,104.150713,-2.895
ABCO,183.5597331,-1.89
ABCO,145.5829502,-1.89
ARPA,93.70079139,-2.625
CADE,106.0126489,-2.43
CECO,97.65322397,-2.68
ABCO,117.3838496,-1.71
ARPA,101.694872,-3.635
CADE,96.77100155,-2.905
CECO,92.68296068,-2.26
ABCO,131.3307393,-2.115
ABCO,110.67457280000001,-2.115
ARPA,110.6614919,-2.705
CADE,112.1219523,-2.32
CECO,104.8625733,-2.285
ABCO,136.0741386,-1.86
ABCO,125.4719451,-1.86
ARPA,85.04272603,-4.32
CADE,98.11031415,-2.65
CECO,95.21001013,-3.415
PIJE,164.5225188,-2.785
PIJE,123.2526287,-2.785
QUKE,101.2242525,-4.383333333
ABCO,194.0756397,-1.96
ABCO,125.3250867,-1.96
ARPA,86.41425562,-3.715
CADE,88.78529509,-2.305
CECO,73.34259179,-4.025
PIJE,97.22355831,-3.003333333
PIJE,103.1257255,-3.003333333
QUKE,89.70374465,-3.076666667
ABCO,145.0229112,-2.235
ABCO,126.167086,-2.235
ARPA,91.95522577,-3.195
CADE,93.16340598,-2.99
CECO,72.4836272,-3.263333333
PIJE,154.3142212,-2.465
PIJE,94.02468497,-2.465
QUKE,85.16810809,-4.425
ABCO,125.6083267,-2.225
ARPA,83.59054753,-3.23
CADE,91.70051318,-2.34
CECO,88.70067813,-2.53
PIJE,116.836012,-2.67
PIJE,90.84050762,-2.67
QUKE,90.0102496,-4.115
ABCO,130.7225035,-2.03
ARPA,78.91890347,-4.82
CADE,90.85260351,-2.765
CECO,83.54507727,-3.413333333
PIJE,57.86318217,-2.195
PIJE,103.2763533,-2.195
QUKE,106.3481037,-2.735
ABCO,158.148316,-2.195
ABCO,118.6216845,-2.195
ARPA,81.47969076,-4.035
CADE,88.6514092,-3.335
CECO,86.04466708,-3.605
PIJE,131.73046,-2.755
PIJE,98.53505406,-2.755
QUKE,92.36416696,-3.67
ABCO,140.4497696,-1.885
ABCO,127.2862987,-1.885
ARPA,108.1697195,-3.396666667
CADE,112.0833832,-2.44
CECO,73.14999525,-3.183333333
ABCO,133.5532933,-1.865
ABCO,136.8846476,-1.865
ARPA,103.8162339,-2.98
CADE,114.2006371,-2.125
CECO,99.79593152,-2.743333333
ABCO,186.1346046,-1.865
ABCO,149.7178921,-1.865
ARPA,104.5680828,-2.606666667
CADE,102.7421733,-2.62
CECO,102.1774339,-2.906666667
ABCO,128.5415246,-1.93
ARPA,89.12496488,-3.53
CADE,102.4798688,-3.145
CECO,90.55366108,-2.615
ABCO,119.8367575,-1.97
ABCO,115.9792387,-1.97
ARPA,96.1048637,-2.94
CADE,103.392692,-2.255
CECO,88.00060911,-2.533333333
ABCO,203.1782212,-1.885
ARPA,200.0170847,-2.285
CADE,200.0620806,-1.935
CECO,232.6723922,-2.455
PIJE,211.5251153,-2.24
QUKE,201.5393922,-3.415
ABCO,209.0506552,-1.97
ARPA,196.0328418,-2.39
CADE,199.1315136,-1.675
CECO,221.1590296,-2.935
PIJE,227.7818792,-2.31
PIJE,199.5935557,-2.31
QUKE,194.4428714,-3.31
ABCO,226.6278696,-1.9
ABCO,202.7640786,-1.9
ARPA,198.5047114,-4.55
CADE,198.6644251,-2.065
PIJE,216.7717689,-1.95
QUKE,204.1753552,-3.99
ABCO,228.4087987,-1.9
ABCO,204.3210028,-1.9
ARPA,198.0306501,-2.02
CADE,196.5103749,-1.935
CECO,220.1980929,-2.145
PIJE,225.2084087,-1.675
PIJE,196.1500666,-1.675
QUKE,208.1937779,-3.52
ABCO,200.5785068,-1.815
ARPA,199.9553954,-1.74
CADE,201.320608,-2.115
CECO,231.3707012,-2.11
PIJE,225.5796141,-1.68
ABCO,228.5596409,-1.825
ABCO,204.9281856,-1.825
ARPA,200.6258702,-1.635
CADE,203.2644839,-1.52
CECO,222.2031011,-2.59
PIJE,228.7328916,-1.71
PIJE,199.2672983,-1.71
QUKE,201.9237184,-3.04
ABCO,232.6835977,-1.87
ABCO,215.8320152,-1.885
ARPA,207.9090681,-1.615
CADE,209.1636227,-1.825
ABCO,234.7985062,-1.955
ABCO,212.1340251,-1.955
ARPA,204.3543894,-2.055
CADE,211.0340017,-2.17
ABCO,212.2914377,-1.93
ARPA,202.6343713,-1.33
CADE,203.5279057,-1.77
CECO,199.2097774,-2
ARPA,203.0189358,-1.99
CADE,209.566174,-1.565
CECO,206.3876683,-1.425
ABCO,201.8121264,-1.97
ARPA,203.9453091,-2.375
CADE,210.5555932,-1.985
CECO,206.4289866,-1.71
CECO,206.4289866,-1.71
