Species,Replicate,SWC,Po (MPa),YTLP (MPa),RWCTLP ,e (MPa),CFT (MPa-1),CTLP (MPa-1),CFT* (mol m-2 MPa-1),LFMtlp,date
ABCO,1,0.061236049,-1.571382875,-2.173725725,87.00917716,12.82079109,0.057495134,0.105568199,0.543564173,165.7050485,10/21/20
ABCO,2,0.039222864,-1.654106206,-2.216693522,90.07489533,17.2976628,0.043348848,0.056845184,0.262550458,168.5354691,10/21/20
ABCO,3,0.066069471,-1.152251633,-1.938028096,84.87882631,8.533218399,0.073589473,0.06392191,0.75685406,164.6716348,10/21/20
CECO,1,1.346287972,-1.994448378,-2.900166505,75.9141483,5.721932865,0.087356791,0.103221394,1.91368995,102.2023047,9/18/21
CECO,2,1.338744914,-1.884013856,-2.709780058,81.51977154,10.70572164,0.066034225,0.146323778,0.732493628,109.1341795,9/18/21
CECO,3,1.094031162,-2.181305834,-3.085898334,79.446504,11.89223537,0.06211444,0.08681835,1.284960856,86.91695108,9/18/21
CECO,4,1.14583239,-1.816523229,-2.646342492,84.26627207,11.25867817,0.061372895,0.109171646,0.845377256,97.51196172,9/18/21
CECO,5,1.248941876,-2.234336867,-3.031058102,81.20195016,5.552557738,0.067495336,0.065567802,0.817117883,101.416516,9/18/21
CECO,6,1.177975928,-1.333332413,-2.456263773,79.80018366,6.486856947,0.084457681,0.082065306,1.246781305,94.00269542,9/18/21
QUKE,1,1.362506675,-2.041850073,-2.510451975,83.34024295,9.914682565,0.079818824,0.167178752,0.584938652,113.5516373,9/18/21
QUKE,2,1.156493128,-2.714915785,-3.482484316,82.87129786,16.22053655,0.049116641,0.13183173,0.384820903,95.84008644,9/18/21
QUKE,3,1.417993125,-1.300146031,-2.626502503,81.54086326,5.06627434,0.088235168,0.048343396,0.967271033,115.6243835,9/18/21
QUKE,4,1.205613545,-2.977787227,-3.797038922,83.58808928,18.37461442,0.042926801,0.114613729,0.367965144,101.6509434,9/18/21
QUKE,5,1.279693501,-1.759871573,-2.1422691,83.46726557,9.196225719,0.087900444,0.297014961,0.614433436,106.8125173,9/18/21
QUKE,6,1.385534265,-1.780228279,-2.376150735,78.98043166,8.692555511,0.086926911,0.15636704,0.595783754,109.4300943,9/18/21
CADE,1,1.263934604,-1.200351162,-2.036263611,83.85031004,5.714147009,0.082007194,0.081234409,1.369226569,105.9813084,9/18/21
CADE,2,1.200007989,-1.165082361,-2.182982658,84.35419679,6.035850163,0.074395599,0.072596644,1.474695916,101.22571,9/18/21
CADE,3,1.267094146,-0.610243987,-1.326589244,85.15559381,3.021314998,0.123867758,0.0585978,1.505965195,107.9001544,9/18/21
CADE,5,1.266882859,-1.087777574,-2.117088561,88.2311126,7.151336019,0.052691191,0.042006519,0.985150794,111.7784842,9/18/21
CADE,6,1.303301761,-1.085903462,-1.827733989,84.76094355,7.153739193,0.081162883,0.075572707,1.453230629,110.469087,9/18/21
CADE,7,1.305453504,-1.38396176,-2.2801991,79.75749753,5.960386598,0.094687335,0.081571599,2.355913385,104.1197046,9/18/21
CADE,8,1.331217366,-0.890649791,-1.963093451,84.01065845,4.596934359,0.097385447,0.040121376,2.047210587,111.8364475,9/18/21
CADE,9,1.375134378,-1.273385054,-2.080457853,85.99701763,8.723097736,0.071694214,0.066357968,1.301985725,118.2574554,9/18/21
PIJE,1,1.232018397,-0.50995522,-1.845353442,83.05411328,3.320940489,0.096963929,0.014059789,2.917287152,102.3241955,9/18/21
PIJE,2,1.251883708,-1.075394956,-1.898230099,90.9832233,9.895133306,0.05305935,0.039933938,1.585674503,113.9004149,9/18/21
PIJE,3,1.338472855,-0.889985393,-1.487694536,90.58368871,7.753403356,0.073526285,0.043468439,2.446917204,121.2438085,9/18/21
PIJE,4,1.247906661,-1.81006364,-2.82178676,83.77348079,10.82847672,0.058578791,0.079791464,1.676047835,105.6331878,9/18/21
PIJE,5,0.148251078,-0.405537961,-1.806117001,45.43579144,0.832359628,0.324393884,0.056371232,1.276344264,6.735905045,9/18/21
PIJE,6,1.232523716,-1.545130449,-2.293375579,89.49138161,11.8739366,0.050275611,0.070504261,1.430641828,110.3002502,9/18/21
PIJE,7,1.93249071,-1.326401122,-2.451082601,85.14537781,9.437236121,0.062928393,0.035668199,0.146080377,102.324195,9/18/21
PIJE,8,1.824747107,-1.657980468,-2.735994919,86.75387744,14.08654928,0.046718777,0.052161389,0.08935458,102.324195,9/18/21
PIJE,9,1.667394311,-1.049997858,-3.12554159,83.96334273,5.248407382,0.060484488,0.012944904,0.3729015,102.324195,9/18/21
ABCO,1,1.34095802,-1.760116899,-2.48,88.91810607,18.25362954,0.041518241,0.099614972,1.008054948,120.6168549,9/18/21
ABCO,2,1.547386611,-1.197632853,-1.835511211,91.35642296,12.63040018,0.049758813,0.056153491,1.352769113,141.3637057,9/18/21
ABCO,4,1.428954522,-1.67304862,-2.274846989,90.56799403,15.24389619,0.046533814,0.085928755,1.019674392,130.2527431,9/18/21
ABCO,5,1.49725574,-0.902342902,-1.734916141,91.05473841,10.6591892,0.05106426,0.045346715,1.176207377,136.3322297,9/18/21
ABCO,7,1.759547684,-1.509841771,-2.115693152,90.74716255,14.93886271,0.04597689,0.069216591,1.00498442,159.6739597,9/18/21
ABCO,8,1.564173714,-1.809216732,-2.428966784,88.87167158,15.94192232,0.087188709,0.087188709,0.883738947,139.0107326,9/18/21
ABCO,6,1.406992578,-1.603829989,-2.186829059,90.55440251,15.38558548,0.046219694,0.076920439,1.00498442,127.4093722,9/18/21
ARPA,1,1.233901254,-0.658601727,-1.699786055,89.03053403,4.671813771,0.073617848,0.026735831,1.530472716,109.8548876,9/18/21
ARPA,2,1.167876599,-1.275476176,-1.873446904,93.94930443,21.71725514,0.032222205,0.046948904,0.579671208,109.7211942,9/18/21
ARPA,3,1.119164024,-1.577120617,-2.420204052,91.18144633,16.91413359,0.038273503,0.05585149,0.81575755,102.0469944,9/18/21
ARPA,4,1.189902422,-1.7429994,-2.732891213,88.7164425,14.40355607,0.043604518,0.050677373,0.873126714,105.5639098,9/18/21
ARPA,5,1.149485936,-0.970256871,-1.811933225,90.99417158,7.815784056,0.050609714,0.041390239,0.780026095,104.5965205,9/18/21
ARPA,6,1.167278588,-1.499186364,-2.32960926,88.87408374,12.21996361,0.050947083,0.061591223,1.12015177,103.740815,9/18/21
CADE,1,1.508355664,-1.791123148,-2.572080481,86.55234785,13.87548609,0.050083673,0.0831088,0.405699215,130.5517241,10/21/20
CADE,3,1.470512894,-1.508559986,-2.574189104,78.37227196,7.414068936,0.080887322,0.077641118,0.98813163,115.2474365,10/21/20
CADE,4,1.704414923,-1.904162281,-2.872003759,75.54447121,7.078266734,0.090720864,0.127067342,1.046111666,128.7591241,10/21/20
CADE,5,1.475673736,-1.593565846,-2.606667575,81.79380609,8.169049133,0.073464743,0.081035563,1.019589279,118.5219218,10/21/20
CADE,6,1.096077058,-1.502516362,-2.505304886,80.12654517,7.154243927,0.081055603,0.08993451,1.017089967,117.629299,10/21/20
ARPA,1,0.079669899,-1.892243057,-2.4228683,92.09436644,22.06220292,0.035383934,0.07864075,0.452423702,107.7253219,10/21/20
ARPA,2,0.106460451,-1.630008034,-2.266753207,92.84839921,22.87929979,0.031563268,0.047165952,0.556878836,103.1403031,10/21/20
ARPA,3,0.095763658,-1.687546568,-2.367172297,88.73601125,12.48689465,0.054051375,0.072421529,0.850219005,108.6906364,10/21/20
ARPA,4,0.052567797,-2.243978817,-2.668844682,90.03765664,22.04569079,0.038137508,0.149835896,0.314855828,99.04589571,10/21/20
ARPA,5,0.098837516,-1.807444278,-2.357273975,92.69041468,24.7760664,0.030862481,0.065350544,0.493237447,129.2021105,10/21/20
ARPA,6,0.101762352,-1.726000075,-2.233667184,92.14277694,20.98943239,0.036574123,0.074007746,0.612054423,102.0174794,10/21/20
CECO,1,1.24599579,-1.683199,-2.4890368,89.4519341,17.3757439,0.04040363,0.05663705,0.16184262,112.608807,10/21/20
CECO,2,1.27432857,-1.5202198,-2.4533495,82.7155947,7.77551453,0.07663802,0.07319445,0.30178769,105.406845,10/21/20
CECO,3,1.25206106,-1.4100167,-2.6454828,82.8835255,7.58435893,0.06676486,0.04940381,0.43282947,103.775234,10/21/20
CECO,4,1.21468774,-2.302219,-2.964681,82.9173861,12.8958657,0.05945887,0.17299721,0.52518409,100.718732,10/21/20
CECO,5,1.18710939,-1.4829583,-2.4016061,83.3054491,9.55753005,0.06627309,0.06811534,0.42687606,98.8926811,10/21/20
CECO,6,1.36346594,-1.591031,-2.7510486,84.3956673,10.0920592,0.0564615,0.04516474,0.388053,115.070618,10/21/20
PIJE,1,1.598111293,-1.29494551,-2.209518121,94.16921167,20.1560576,0.026932034,0.028510842,0.097026851,150.4928806,10/21/20
PIJE,2,1.718232333,-0.517193866,-2.347379057,90.40914455,9.933957842,0.042726986,0.007385058,0.171301407,155.3439153,10/21/20
PIJE,3,1.72619824,-0.962924677,-2.257488966,89.95014081,7.458967744,0.050372865,0.021388128,0.163923546,155.2717747,10/21/20
PIJE,4,1.662240489,-1.270546814,-2.422981707,93.33679873,25.6714339,0.023800028,0.021997748,0.062614415,155.1482059,10/21/20
QUKE,1,1.27823708,-1.9200912,-2.9510107,80.3736673,7.90025503,0.07817329,0.08415292,0.32456794,102.736602,10/21/20
QUKE,2,1.38876708,-1.8544045,-3.0051717,78.9546134,6.59915457,0.08593208,0.07989451,0.58019692,109.649568,10/21/20
QUKE,3,1.45234576,-1.9682766,-2.8090319,83.029195,10.264657,0.06507341,0.072537,0.30207904,120.587099,10/21/20
QUKE,4,1.25281685,-1.7991192,-2.956486,86.9575876,12.9764382,0.04598149,0.05549831,0.19963102,108.941931,10/21/20
QUKE,5,1.21514745,-1.9109742,-2.9470551,83.7213899,10.569671,0.05985997,0.05429285,0.19163501,101.733833,10/21/20
QUKE,6,1.28714542,-1.7155758,-2.7907354,86.2218321,12.7454321,0.04810682,0.0532015,0.16848484,110.980036,10/21/20