bottle.number,spp,age,pod,site,lfm,date,predawn1,predawn2,midday1,midday2,predawn,midday,type,LFMtlp,Mpatlp
1,ADFA,New,1,1,63.22522031,9/18/20,5.06,4.957,5.912,5.998,5.0085,5.955,shrub,74.34,-3.21
2,ADFA,Old,1,1,,9/18/20,5.06,4.957,5.912,5.998,5.0085,5.955,shrub,74.34,-3.21
4,ADFA,New,2,1,64.61268278,9/18/20,2.901,2.556,4.269,4.158,2.7285,4.2135,shrub,74.34,-3.21
5,ADFA,Old,2,1,60.34635522,9/18/20,2.901,2.556,4.269,4.158,2.7285,4.2135,shrub,74.34,-3.21
7,ADFA,New,3,1,69.99729034,9/18/20,3.549,3.702,6.067,5.346,3.6255,5.7065,shrub,74.34,-3.21
8,ADFA,Old,3,1,56.12149789,9/18/20,3.549,3.702,6.067,5.346,3.6255,5.7065,shrub,74.34,-3.21
12,ADFA,New,4,1,63.3810362,9/18/20,4.212,4.193,5.88,6.175,4.2025,6.0275,shrub,74.34,-3.21
11,ADFA,Old,4,1,62.67089451,9/18/20,4.212,4.193,5.88,6.175,4.2025,6.0275,shrub,74.34,-3.21
13,ADFA,New,5,1,73.94126494,9/18/20,3.533,3.784,5.251,5.19,3.6585,5.2205,shrub,74.34,-3.21
14,ADFA,Old,5,1,63.78418815,9/18/20,3.533,3.784,5.251,5.19,3.6585,5.2205,shrub,74.34,-3.21
18,ADFA,New,6,1,59.8803223,9/18/20,3.712,3.235,5.939,6.098,3.4735,6.0185,shrub,74.34,-3.21
17,ADFA,Old,6,1,64.39108162,9/18/20,3.712,3.235,5.939,6.098,3.4735,6.0185,shrub,74.34,-3.21
19,ADFA,New,1,2,77.22761891,9/18/20,2.503,2.231,,,2.367,,shrub,74.34,-3.21
20,ADFA,Old,1,2,61.80284631,9/18/20,2.503,2.231,,,2.367,,shrub,74.34,-3.21
23,ADFA,New,2,2,65.74693709,9/18/20,2.747,2.519,4.698,4.748,2.633,4.723,shrub,74.34,-3.21
24,ADFA,Old,2,2,67.46412831,9/18/20,2.747,2.519,4.698,4.748,2.633,4.723,shrub,74.34,-3.21
25,ADFA,New,3,2,63.82427154,9/18/20,4.556,4.516,5.455,5.78,4.536,5.6175,shrub,74.34,-3.21
26,ADFA,Old,3,2,59.57423156,9/18/20,4.556,4.516,5.455,5.78,4.536,5.6175,shrub,74.34,-3.21
28,ADFA,New,4,2,73.01379267,9/18/20,2.998,2.665,4.419,4.99,2.8315,4.7045,shrub,74.34,-3.21
29,ADFA,Old,4,2,66.70149284,9/18/20,2.998,2.665,4.419,4.99,2.8315,4.7045,shrub,74.34,-3.21
33,ADFA,New,5,2,68.20917612,9/18/20,3.889,4.081,6.431,6.435,3.985,6.433,shrub,74.34,-3.21
32,ADFA,Old,5,2,62.31876435,9/18/20,3.889,4.081,6.431,6.435,3.985,6.433,shrub,74.34,-3.21
34,ADFA,New,6,2,74.53218178,9/18/20,2.289,2.291,5.231,5.119,2.29,5.175,shrub,74.34,-3.21
35,ADFA,Old,6,2,75.27136715,9/18/20,2.289,2.291,5.231,5.119,2.29,5.175,shrub,74.34,-3.21
3,CEME,New,1,1,55.9389882,9/18/20,6.971,6.479,7.168,7.14,6.725,7.154,shrub,90.33,-2.78
6,CEME,New,2,1,51.98201665,9/18/20,7.443,7.671,7.587,7.71,7.557,7.6485,shrub,90.33,-2.78
9,CEME,New,3,1,54.88384681,9/18/20,7.455,7.317,7.674,7.587,7.386,7.6305,shrub,90.33,-2.78
10,CEME,New,4,1,55.5420541,9/18/20,7.502,7.512,8.076,8.411,7.507,8.2435,shrub,90.33,-2.78
15,CEME,New,5,1,56.67679405,9/18/20,7.974,8.051,8.397,8.419,8.0125,8.408,shrub,90.33,-2.78
16,CEME,New,6,1,53.45771763,9/18/20,7.952,7.9,8.474,8.231,7.926,8.3525,shrub,90.33,-2.78
21,CEME,New,1,2,62.49952868,9/18/20,5.954,5.821,6.544,6.53,5.8875,6.537,shrub,90.33,-2.78
22,CEME,New,2,2,57.44963377,9/18/20,7.315,7.481,7.867,7.401,7.398,7.634,shrub,90.33,-2.78
27,CEME,New,3,2,53.46379429,9/18/20,8.84,8.612,8.766,8.875,8.726,8.8205,shrub,90.33,-2.78
30,CEME,New,4,2,76.39798612,9/18/20,4.691,4.132,5.226,5.118,4.4115,5.172,shrub,90.33,-2.78
31,CEME,New,5,2,53.9971788,9/18/20,7.413,8.942,8.453,8.433,8.1775,8.443,shrub,90.33,-2.78
36,CEME,New,6,2,82.31212084,9/18/20,4.388,4.2,5.328,5.235,4.294,5.2815,shrub,90.33,-2.78